Year,Quarter,Month,Day
2024,Q1,January,Monday
2024,Q1,February,Tuesday
2024,Q1,March,Wednesday
2024,Q2,April,Thursday
2024,Q2,May,Friday
2024,Q2,June,Saturday
2024,Q3,July,Sunday
2024,Q3,August,Monday
2024,Q3,September,Tuesday
2024,Q4,October,Wednesday
2024,Q4,November,Thursday
2024,Q4,December,Friday
2025,Q1,January,Saturday
2025,Q1,February,Sunday
2025,Q1,March,Monday
2025,Q2,April,Tuesday
2025,Q2,May,Wednesday
2025,Q2,June,Thursday
2025,Q3,July,Friday
2025,Q3,August,Saturday
2025,Q3,September,Sunday
2025,Q4,October,Monday
2025,Q4,November,Tuesday
2025,Q4,December,Wednesday
