year,month,day,quarter,passengers
1949,January,1,Qtr 1,112
1949,February,1,Qtr 1,118
1949,March,1,Qtr 1,132
1949,April,1,Qtr 2,129
1949,May,1,Qtr 2,121
1949,June,1,Qtr 2,135
1949,July,1,Qtr 3,148
1949,August,1,Qtr 3,148
1949,September,1,Qtr 3,136
1949,October,1,Qtr 4,119
1949,November,1,Qtr 4,104
1949,December,1,Qtr 4,118
1950,January,1,Qtr 1,115
1950,February,1,Qtr 1,126
1950,March,1,Qtr 1,141
1950,April,1,Qtr 2,135
1950,May,1,Qtr 2,125
1950,June,1,Qtr 2,149
1950,July,1,Qtr 3,170
1950,August,1,Qtr 3,170
1950,September,1,Qtr 3,158
1950,October,1,Qtr 4,133
1950,November,1,Qtr 4,114
1950,December,1,Qtr 4,140
