gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,Random Sampling,,,satified Sampling,,,,,,,,,,Cluster sampling,,
female,group B,associate's degree,standard,none,82,80,77,0.001952768,,,,,,,,,,,,,,,
female,group D,some college,standard,none,79,86,81,0.004569593,,,Count male,482,37,,,,,,,,,,
female,group E,some college,standard,completed,66,74,73,0.004595309,,,count female,518,40,,,,,,,,gender,race/ethnicity,
female,group B,associate's degree,free/reduced,none,52,76,70,0.005368482,,,,,,,,,,,,,female,group B,0.586251288
female,group D,high school,standard,completed,56,68,74,0.009776652,,,,,,,,,,,,,female,group D,0.939479239
female,group B,associate's degree,free/reduced,none,53,71,67,0.010378456,,,,,,,,,,,,,female,group E,0.818944422
female,group D,some college,free/reduced,completed,70,78,78,0.010517079,,female,group B,associate's degree,standard,none,82,80,77,0.001952768,,,female,group A,0.887251329
female,group D,bachelor's degree,free/reduced,none,73,79,84,0.011837157,,female,group D,some college,standard,none,79,86,81,0.004569593,,,female,group C,0.499794702
female,group E,some college,free/reduced,none,53,58,57,0.013501454,,female,group E,some college,standard,completed,66,74,73,0.004595309,,,male,group D,0.95357433
female,group E,associate's degree,standard,none,85,92,85,0.013561392,,female,group B,associate's degree,free/reduced,none,52,76,70,0.005368482,,,male,group E,0.311584918
female,group D,associate's degree,standard,completed,88,92,95,0.016215364,,female,group D,high school,standard,completed,56,68,74,0.009776652,,,male,group B,0.629770863
female,group B,associate's degree,standard,none,40,48,50,0.020380272,,female,group B,associate's degree,free/reduced,none,53,71,67,0.010378456,,,male,group A,0.532190468
female,group A,associate's degree,free/reduced,none,41,51,48,0.021369526,,female,group D,some college,free/reduced,completed,70,78,78,0.010517079,,,male,group C,0.068767958
female,group C,some college,standard,completed,67,81,79,0.022456119,,female,group D,bachelor's degree,free/reduced,none,73,79,84,0.011837157,,,0,0,
female,group E,master's degree,free/reduced,none,45,56,54,0.022742991,,female,group E,some college,free/reduced,none,53,58,57,0.013501454,,,,,
female,group C,some college,free/reduced,none,62,67,62,0.024567175,,female,group E,associate's degree,standard,none,85,92,85,0.013561392,,,,,
female,group C,some college,standard,completed,87,89,94,0.024712117,,female,group D,associate's degree,standard,completed,88,92,95,0.016215364,,,,,
female,group B,some high school,free/reduced,none,18,32,28,0.026583016,,female,group B,associate's degree,standard,none,40,48,50,0.020380272,,,,,
female,group C,some college,standard,none,82,90,94,0.029878269,,female,group A,associate's degree,free/reduced,none,41,51,48,0.021369526,,,,,
